case说明	case名称
adb重启	../testcases/reboot.py:TestReboot.testReboot
遥控器升级	../testcases/RemoteUpgrade.py:TestRemoteUpgrade.testRemoteUpgrade
直播台切换	../testcases/Live_switch.py:testLivePlay.testChangLiveChannelByChannelupKey
记录memory info	../testcases/captureMeminfo.py:TestCaptureMeminfo.testCaptureMeminfo
信号源列表切换信号源	../testcases/SourceSwitch.py:TestSourceSwitch.testSwitchSourceByList
信号源键切换信号源	../testcases/SourceSwitch.py:TestSourceSwitch.testSwitchSourceBySource
四大天王键切换信号源	../testcases/SourceSwitch.py:TestSourceSwitch.testSwitchSourceByKey
对音视频反复进行快进快退操作	../testcases/searchVideo.py:TestSearchMedia.testSearchMedia
连接串口进行内存压力测试	../testcases/stressAPP.py:TestStressApp.testStressApp
模拟电视自动搜台	../testcases/ChannelScan.py:TestChannelScan.testATVAutoScanChannel
DTMB自动搜台	../testcases/ChannelScan.py:TestChannelScan.testDTMBAutoScanChannel
ntfs分区读写	../testcases/iozone.py:TestIozone.testNtfs
data分区读写	../testcases/iozone.py:TestIozone.testData
fat分区读写	../testcases/iozone.py:TestIozone.testFat
改变音量测试	../testcases/volumeChange.py:TestVolumeChange.testVolumeChange
模拟电视 DTMB切换	../testcases/TunerBase.py:TestTunerBase.testSwitchBetweenATVAndDTMB
模拟电视切换频道时间	../testcases/TunerBase.py:TestTunerBase.testChangeChannelTime
模拟电视数字切换频道	../testcases/TunerBase.py:TestTunerBase.testChannelChangeByNumber
画面比例切换	../testcases/TunerBase.py:TestTunerBase.testChangeATVScreenRate
模拟电视频道加	../testcases/TunerBase.py:TestTunerBase.testChannelUpByChannelKey
模拟电视频道减	../testcases/TunerBase.py:TestTunerBase.testChannelDownByChannelKey
恢复出厂设置判断外界存储是否识别	../testcases/ResetMountDisk.py:TestReset.testReset
电脑加载的时间	../testcases/sourcePerformance.py:TestSourceLoading.testVGALoadingTime
视频加载的时间	../testcases/sourcePerformance.py:TestSourceLoading.testCVBSLoadingTime
模拟电视加载的时间	../testcases/sourcePerformance.py:TestSourceLoading.testTunerLoadingTime
分量信号加载的时间	../testcases/sourcePerformance.py:TestSourceLoading.testComponentLoadingTime
HDMI加载的时间	../testcases/sourcePerformance.py:TestSourceLoading.testHDMILoadingTime
直播台3切到4的详细时间	../testcases/cloudLivePerformance.py:TestPlayerPerformance.testChangeThreeChannel
直播台4切到5的详细时间	../testcases/cloudLivePerformance.py:TestPlayerPerformance.testChangeFourChannel
直播台5切到6的详细时间	../testcases/cloudLivePerformance.py:TestPlayerPerformance.testChangeFiveChannel
直播台1切换到4K频道的时间	../testcases/cloudLivePerformance.py:TestPlayerPerformance.testChangeOneTo4k
直播台2切到3的详细时间	../testcases/cloudLivePerformance.py:TestPlayerPerformance.testChangeTwoChannel
直播台1切到2的详细时间	../testcases/cloudLivePerformance.py:TestPlayerPerformance.testChangeOneChannel
播放所有格式的视频文件	../testcases/PlayTheFolderVideos.py:testLocalPlayByTypes.testPlayTheFolderVideos
Tuner信号源下进行多屏切换	../testcases/switchScreen.py:TestSwitchScreen.testSwitchScreen
TV版搜索视频播放	../testcases/tvBanTest.py:TestUiAutomator.testSearchPlay
切换3D视频分辨率	../testcases/tvBanTest.py:TestUiAutomator.testResolution3D
切换音乐视频分辨率	../testcases/tvBanTest.py:TestUiAutomator.testResolutionMusic
TV版播放记录播放	../testcases/tvBanTest.py:TestUiAutomator.testPlayRecord
切换3D视频画面比例	../testcases/tvBanTest.py:TestUiAutomator.testScale3D
3D点播视频暂停 播放 seek 声音大小调节功能测试	../testcases/tvBanTest.py:TestUiAutomator.test3DTV
杜比点播视频暂停 播放 seek 声音大小调节功能测试	../testcases/tvBanTest.py:TestUiAutomator.testDolbyPlay
3D频道播放退出	../testcases/tvBanTest.py:TestUiAutomator.testExit3DPlay
切换杜比视频分辨率	../testcases/tvBanTest.py:TestUiAutomator.testResolutionDolby
切换杜比视频画面比例	../testcases/tvBanTest.py:TestUiAutomator.testScaleDolby
2D点播视频暂停 播放 seek 声音大小调节功能测试	../testcases/tvBanTest.py:TestUiAutomator.test2DTV
恢复出场设置	../testcases/FactoryReset.py:testFactoryReset.testFactoryReset
主页键切换桌面	../testcases/Desktop.py:TestDesktop.testSwitchFiveScreen
直播和搜索切换	../testcases/Desktop.py:TestDesktop.testSwitchLiveAndSearch
升级到最新版本	../testcases/Upgrade.py:testUpgrade.testSTAB_USB_UPGRADE_TO_NEW
在线升级到最新版本	../testcases/Upgrade.py:testUpgrade.testSTAB_USB_UPGRADE_Online
点播HLS_H264_AAC_480p	../testcases/cloudFunction.py:testCloudFunction.testVodHLS_H264_AAC_480p
点播HLS_H264_AAC_4K4096x2160	../testcases/cloudFunction.py:testCloudFunction.testVodHLS_H264_AAC_4K4096x2160
点播HLS_H264_DTS_1080	../testcases/cloudFunction.py:testCloudFunction.testVodHLS_H264_DTS_1080
点播HTTP_MP4_H264_480P	../testcases/cloudFunction.py:testCloudFunction.testVodHTTP_MP4_H264_480P
点播HTTP_FLV_H264_720P	../testcases/cloudFunction.py:testCloudFunction.testVodHTTP_FLV_H264_720P
点播HLS_H264_AAC_720p	../testcases/cloudFunction.py:testCloudFunction.testVodHLS_H264_AAC_720p
点播HLS_H264_Dolby_1080	../testcases/cloudFunction.py:testCloudFunction.testVodHLS_H264_Dolby_1080
点播HTTP_MP4_H265_1080P	../testcases/cloudFunction.py:testCloudFunction.testVodHTTP_MP4_H265_1080P
点播HTTP_FLV_H264_1080P	../testcases/cloudFunction.py:testCloudFunction.testVodHTTP_FLV_H264_1080P
点播HTTP_MP4_H265_4K	../testcases/cloudFunction.py:testCloudFunction.testVodHTTP_MP4_H265_4K
点播HLS_H264_AAC_1080p	../testcases/cloudFunction.py:testCloudFunction.testVodHLS_H264_AAC_1080p
点播HLS_H264_AAC_4K3940x2160	../testcases/cloudFunction.py:testCloudFunction.testVodHLS_H264_AAC_4K3940x2160
点播HTTP_MP4_H265_720P	../testcases/cloudFunction.py:testCloudFunction.testVodHTTP_MP4_H265_720P
点播HTTP_MP4_H264_1080P	../testcases/cloudFunction.py:testCloudFunction.testVodHTTP_MP4_H264_1080P
点播HTTP_MP4_H264_720P	../testcases/cloudFunction.py:testCloudFunction.testVodHTTP_MP4_H264_720P
点播HTTP_MP4_H265_480P	../testcases/cloudFunction.py:testCloudFunction.testVodHTTP_MP4_H265_480P
testSTAB_STRESS_APP_TEST	../testcases/Stressapptest.py:testStressapptest.testSTAB_STRESS_APP_TEST
直播播放器关闭的时间	../testcases/playerPerformance.py:TestPlayerPerformance.testLivePlayerCloseTime
Vod seek时间	../testcases/playerPerformance.py:TestPlayerPerformance.testVodPlayerSeekTime
直播频道切换时间	../testcases/playerPerformance.py:TestPlayerPerformance.testChangeLiveChannel
播放视频中出现loading次数和loading时间	../testcases/playerPerformance.py:TestPlayerPerformance.testPlayerLoading
HDMI信号切换到直播台时间	../testcases/playerPerformance.py:TestPlayerPerformance.testHDMIToLiveLoadingTime
Tuner信号切换到直播台时间	../testcases/playerPerformance.py:TestPlayerPerformance.testTunerToLiveLoadingTime
点击退出到播放器关闭时间	../testcases/playerPerformance.py:TestPlayerPerformance.testVodUserCloseTime
开机起播时间	../testcases/playerPerformance.py:TestPlayerPerformance.testRebootPlayerStartTime
点播播放器关闭时间	../testcases/playerPerformance.py:TestPlayerPerformance.testVodPlayerCloseTime
直播起播时间	../testcases/playerPerformance.py:TestPlayerPerformance.testLivePlayPrepareTime
点播起播时间	../testcases/playerPerformance.py:TestPlayerPerformance.testVodPlayPrepareTime
VGA信号切换到直播台时间	../testcases/playerPerformance.py:TestPlayerPerformance.testVGAToLiveLoadingTime
CVBS信号切换到直播台时间	../testcases/playerPerformance.py:TestPlayerPerformance.testCVBSToLiveLoadingTime
文件复制	../testcases/FileSystem.py:TestFileSystem.testCopyFiletoDevice
创建2级目录	../testcases/FileSystem.py:TestFileSystem.testCreateDir
长文件名	../testcases/FileSystem.py:TestFileSystem.testLongFileName
检测挂载点是否正确	../testcases/FileSystem.py:TestFileSystem.testMountPoint
播放外接存储器的20层文件夹的音乐文件	../testcases/FileSystem.py:TestFileSystem.testMultipleSubDir
文件属性显示	../testcases/FileSystem.py:TestFileSystem.testFileState
安装外部应用	../testcases/GlobalSettings.py:TestGlobalSettings.testInstallApks
Miracast打开关闭	../testcases/GlobalSettings.py:TestGlobalSettings.testMiracast
打开关闭3D	../testcases/GlobalSettings.py:TestGlobalSettings.test3D
直播台向下切换	../testcases/Letvplay.py:testLivePlay.testChangLiveChannelByChannelDownKey
直播台向上切换	../testcases/Letvplay.py:testLivePlay.testChangLiveChannelByChannelUpKey
切换直播台的画面比例	../testcases/Letvplay.py:testLivePlay.testChangeLetvScreenRate
关闭视频桌面切换主页	../testcases/Letvplay.py:testLivePlay.testCloseLiveDesktopPressHome
直播台和URL互切	../testcases/Letvplay.py:testLivePlay.testChangeLiveAndUrl
数字切换直播频道	../testcases/Letvplay.py:testLivePlay.testChangeLiveChannelByKey
切换直播台的清晰度	../testcases/Letvplay.py:testLivePlay.testChangeLetvDisplay
关闭直播桌面切换	../testcases/Letvplay.py:testLivePlay.testCloseLiveDesktop
开机系统启动时间	../testcases/SerialOperation.py:TestSerial.testSystemStartTime
重启联网时间	../testcases/SerialOperation.py:TestSerial.testNetWorkConnectTime
压力测试：播放点播视频，对点播视频做更改画面比例操作	../testcases/OperationMediaTest.py:TestUiAutomator.testVodScaleChange
压力测试：播放视频或音频，对视频/音频做play/pause操作	../testcases/OperationMediaTest.py:TestUiAutomator.testPlayPauseMedia
压力测试：播放轮播台视频，对轮播视频做更改画面比例操作	../testcases/OperationMediaTest.py:TestUiAutomator.testLiveScaleChange
压力测试：播放点播视频，对点播视频做更改清晰度操作	../testcases/OperationMediaTest.py:TestUiAutomator.testVodResolutionChange
